District,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9
Hwange Rural,0.42662416,0.421393122,0.399211964,0.272650691,0.143489022,0.052380567,0.007042985,0,0,0.251087143,0.248324211,0.235635488,0.157849344,0.082575982,0.029927164,0.003799759,0,0,0.204447974,0.202214419,0.19193789,0.127857946,0.068025072,0.024689999,0.00298965,0,0
Hwedza,0.393681433,0.385497661,0.335607621,0.24121642,0.137915783,0.043625826,0.009458483,0.004831101,0,0.23208076,0.227100322,0.194570254,0.137220724,0.078335244,0.02531467,0.005640469,0.002788538,0,0.198996233,0.195097947,0.16674733,0.117829751,0.068431978,0.022534097,0.005174322,0.002454312,0
Insiza,0.419762086,0.414295464,0.364818272,0.248292293,0.153818097,0.061225408,0.01440089,0.007959176,0,0.240684473,0.238329096,0.208969077,0.14684616,0.090852573,0.035347095,0.008366109,0.00449152,0,0.190330174,0.188681849,0.165615992,0.120463038,0.07496,0.029849253,0.007441894,0.004013717,0
Kadoma,0.230263185,0.170447389,0.107069897,0.046234166,0.027989471,0.020727944,0,0,0,0.139975728,0.104842747,0.068824076,0.029685463,0.017366277,0.013422054,0,0,0,0.105873439,0.082491275,0.057019269,0.02595605,0.014381408,0.010921139,0,0,0
Kariba,0.567797089,0.567797089,0.561208027,0.517684489,0.358182292,0.204213156,0.116210125,0.054607832,0.048797528,0.315056269,0.315056269,0.311623942,0.287382094,0.200578547,0.114520884,0.065627905,0.029731525,0.026121255,0.246416921,0.246416921,0.243602555,0.22463093,0.159592773,0.093814994,0.056253392,0.026748524,0.02349969
Kariba Rural,0.141483611,0.102604114,0.046622218,0.009936164,0.009936164,0.009936164,0,0,0,0.08813581,0.065013129,0.029201981,0.004968082,0.004968082,0.004968082,0,0,0,0.082940438,0.061972886,0.027184457,0.004167721,0.004167721,0.004167721,0,0,0
Karoi,0.11734476,0.099531592,0.099531592,0.099531592,0.099531592,0,0,0,0,0.062235018,0.053328434,0.053328434,0.053328434,0.053328434,0,0,0,0,0.045491415,0.041038123,0.041038123,0.041038123,0.041038123,0,0,0,0
Kwekwe,0.282505429,0.232605544,0.144032794,0.098703564,0.013736692,0,0,0,0,0.169757008,0.13971186,0.089686457,0.062664119,0.007624941,0,0,0,0,0.132990159,0.112743529,0.074161598,0.052061236,0.005897413,0,0,0,0
Kwekwe Rural,0.427934201,0.422181635,0.407717319,0.28011789,0.149180679,0.067541531,0.04152641,0.026122222,0.018240393,0.225627891,0.221745006,0.213967247,0.14751255,0.077634121,0.035429906,0.022083595,0.014381501,0.010009582,0.166051684,0.163390703,0.157519225,0.108540016,0.058105356,0.027817361,0.018112126,0.012898759,0.008995023
Lupane,0.479508298,0.478716589,0.454364968,0.347891647,0.2178092,0.112518847,0.072534801,0.039013318,0.020194773,0.273065561,0.272801658,0.260563571,0.199717411,0.123211741,0.06399728,0.040684124,0.021138615,0.01142667,0.210700942,0.210546999,0.201844766,0.156077849,0.098170975,0.052682058,0.034790902,0.018355633,0.009949927
Madzi,0.426299427,0.419121787,0.400947828,0.294913462,0.13371281,0.054916365,0.019144681,0,0,0.254504193,0.249788644,0.238770189,0.173597117,0.078725387,0.032983345,0.01090183,0,0,0.204938405,0.201020819,0.191963218,0.137573069,0.063078891,0.026649725,0.009076171,0,0
Makonde,0.414052886,0.408980106,0.354482217,0.271811771,0.110905197,0.041565072,0.029073139,0.023059634,0.023059634,0.23546079,0.233616142,0.200788407,0.152681866,0.059286399,0.021906833,0.015795481,0.012335997,0.012335997,0.177374823,0.176414069,0.152319067,0.116211817,0.04617258,0.018629652,0.014193329,0.011471973,0.011471973
Makoni,0.416422898,0.409042279,0.360840229,0.270805408,0.145667377,0.055187561,0.006025854,0,0,0.235304349,0.231956346,0.206871419,0.15249161,0.082515386,0.029759135,0.003356593,0,0,0.185566424,0.18329744,0.165144477,0.122315461,0.066044303,0.023554995,0.002824178,0,0
Mangwe,0.464230358,0.463404551,0.430835002,0.338870704,0.205893777,0.119986631,0.04314762,0.034263891,0.034263891,0.270394613,0.270064291,0.249122666,0.195854127,0.115033183,0.067440945,0.024998365,0.019354424,0.019354424,0.21960126,0.219270937,0.201730809,0.159247676,0.095619482,0.058326332,0.022555714,0.017533427,0.017533427
Marondera Rural,0.468263116,0.466820264,0.427961924,0.342846838,0.183769101,0.113449291,0.08329392,0.062264226,0.021544475,0.260645675,0.259563535,0.239955867,0.194120347,0.100859821,0.061372599,0.04500278,0.033424978,0.011693981,0.216781665,0.215699525,0.199645273,0.162447202,0.085983559,0.053707959,0.040386606,0.030315245,0.01106552
Marondera Urban,0.381478599,0.373318476,0.311505307,0.236594151,0.106026341,0.021421496,0.021421496,0,0,0.224389082,0.222349051,0.181063334,0.135598075,0.060943678,0.013702474,0.013702474,0,0,0.18516373,0.184823724,0.151297258,0.112910955,0.050218831,0.012748635,0.012748635,0,0
Masvingo Rural,0.392013466,0.377162631,0.348092168,0.225179067,0.104737379,0.061753998,0.027262895,0.010641801,0.010641801,0.237333804,0.228075523,0.211252552,0.136787523,0.064038476,0.038390918,0.016321978,0.006933057,0.006933057,0.188031525,0.180999757,0.167907153,0.109906259,0.053010284,0.032623872,0.013659602,0.006042583,0.006042583
Masvingo Urban,0.191053895,0.138895914,0.061525268,0.027676851,0,0,0,0,0,0.149506702,0.100092613,0.042616981,0.02168884,0,0,0,0,0,0.124512633,0.086225272,0.038801369,0.020344964,0,0,0,0,0
Matobo,0.459082934,0.451442971,0.412996823,0.323785089,0.215121587,0.12713888,0.053418676,0.025070466,0.017706429,0.267508884,0.262764175,0.241620218,0.190348056,0.124664378,0.073250866,0.031590056,0.014368184,0.00983299,0.213662559,0.210043986,0.193704098,0.155064627,0.10335668,0.061379594,0.027019128,0.012368496,0.008591425
Mazowe,0.441896096,0.435364944,0.399259608,0.29848125,0.176684507,0.097458777,0.051769443,0.023140193,0.012288982,0.2452009,0.241326687,0.222451172,0.165752982,0.095990262,0.052564859,0.027563112,0.011955438,0.006300071,0.208271038,0.204771249,0.189602023,0.141930627,0.081895337,0.045249505,0.024020419,0.010686588,0.005683222
Mberengwa,0.437842475,0.431400252,0.400347744,0.302370352,0.160232729,0.053154577,0.019789406,0.010763373,0,0.255015712,0.251850474,0.234725871,0.178494241,0.097076509,0.031168207,0.011112806,0.005987479,0,0.204454815,0.201732841,0.188470746,0.144059438,0.080654747,0.026205233,0.00943621,0.0050343,0
Mbire,0.453072688,0.451897448,0.418247329,0.326493327,0.189306596,0.093624397,0.031782259,0.004796744,0,0.279299462,0.278945704,0.258093072,0.200855776,0.11605226,0.057621756,0.018748846,0.002946891,0,0.228687985,0.228497455,0.211712901,0.164535184,0.095280423,0.047266821,0.015573781,0.002554267,0
