District_ID,District_name,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9,M0_education_max,M0_education_dropout,M0_health_chronic,M0_health_visit,M0_employment,M0_assets,M0_services,M0_electricity,M0_cooking_fuel,M0_water,M0_toilet,M0_land,M0_livestock,M0_rural_equip,M1_education_max,M1_education_dropout,M1_health_chronic,M1_health_visit,M1_employment,M1_assets,M1_services,M1_electricity,M1_cooking_fuel,M1_water,M1_toilet,M1_land,M1_livestock,M1_rural_equip,M2_education_max,M2_education_dropout,M2_health_chronic,M2_health_visit,M2_employment,M2_assets,M2_services,M2_electricity,M2_cooking_fuel,M2_water,M2_toilet,M2_land,M2_livestock,M2_rural_equip
46,Mutoko,0.40106269,0.39378426,0.36519671,0.23359628,0.11272044,0.04883259,0.02422456,0,0,0.24286244,0.23655156,0.21865132,0.13896526,0.06812057,0.03074281,0.01431851,0,0,0.203045,0.19738416,0.18270481,0.11530462,0.05762137,0.02602719,0.01265754,0,0,0.16976459,0,0.44720855,0.11082869,0,0.76724207,0.50937539,0.35971892,0.48008182,0.25928792,0.14487148,0.04660392,0.29385675,0.23005407,0.08488229,0,0.22360427,0.05541434,0,0.60698716,0.23234168,0.10791568,0.24004091,0.23825343,0.07243574,0.0559247,0.3247761,0.06901622,0.0282941,0,0.22360427,0.05541434,0,0.52685971,0.10158271,0.10791568,0.24004091,0.17732722,0.03621787,0.0559247,0.31112905,0.06901622
47,Mwenezi,0.45845083,0.45520897,0.43005975,0.32696479,0.20578104,0.07185963,0.03020213,0.00907535,0,0.27146174,0.2699145,0.25387129,0.19077204,0.11941482,0.04383368,0.01904557,0.00512313,0,0.21590357,0.21468976,0.20142412,0.15074782,0.09464071,0.03601934,0.01657015,0.00447468,0,0.26083884,0.01461353,0.48597604,0.1520204,0,0.86979393,0.80309166,0.26964884,0.4914271,0.30397759,0.26700523,0.0531202,0.2539737,0.12979579,0.13041942,0.0219203,0.24298802,0.0760102,0,0.71773367,0.32546555,0.08291908,0.24571355,0.2449802,0.13350262,0.06158704,0.25670821,0.03893874,0.04347314,0.0219203,0.24298802,0.0760102,0,0.64170353,0.11839767,0.08291908,0.24571355,0.17455919,0.06675131,0.06124188,0.23646726,0.03893874
48,Nkayi,0.46750453,0.46615971,0.44543047,0.34378059,0.15314045,0.10234321,0.03873668,0.02142691,0.01566863,0.2827672,0.28168058,0.26866939,0.20272603,0.08902396,0.05831863,0.02260673,0.01169743,0.00807566,0.2230289,0.22212188,0.21225104,0.15952899,0.07190643,0.0482071,0.02016778,0.01100755,0.0075978,0.24432609,0.00492636,0.90503242,0.15063178,0,0.82046033,0.89084499,0.07084158,0.48644756,0.2102592,0.36757271,0,0.20172034,0.08822964,0.12216305,0.00147791,0.45251621,0.07531589,0,0.64833551,0.51789434,0.02125247,0.24322378,0.19022189,0.18509804,0,0.20232042,0.02646889,0.04072102,0.00029558,0.45251621,0.07531589,0,0.5622731,0.26180356,0.02125247,0.24322378,0.15626137,0.09386071,0,0.18478193,0.02646889
49,Nyanga,0.4122929,0.40008417,0.36444752,0.27845556,0.14334095,0.05107376,0.01945033,0.01239707,0,0.23116025,0.22471612,0.20618937,0.15566161,0.08081387,0.02792258,0.01013623,0.00656389,0,0.18285007,0.17835389,0.16319333,0.12229821,0.06381041,0.02329967,0.00813874,0.00503842,0,0.25341585,0.00836323,0.47812726,0.19003122,0,0.76987363,0.65792127,0.34619539,0.46265199,0.16870458,0.15590343,0.02242425,0.20495752,0.19821285,0.13064722,0.00250897,0.23906363,0.09501561,0,0.59356597,0.31075903,0.10607369,0.23132599,0.13778101,0.07795172,0.01410353,0.19776212,0.05946386,0.04703596,0.00050179,0.23906363,0.09501561,0,0.50541214,0.13140712,0.10607369,0.23132599,0.09425077,0.03897586,0.01105836,0.17749085,0.05946386
50,Rushinga,0.41802808,0.40877491,0.38020803,0.26532214,0.12008993,0.05764863,0.02676132,0.0132668,0.00926229,0.23257876,0.22702345,0.21107866,0.14848026,0.06578011,0.03094678,0.01454506,0.00715408,0.00500503,0.18326182,0.17845883,0.16628976,0.11926374,0.05404084,0.02661431,0.01322444,0.00658147,0.00465669,0.21486129,0.00882271,0.37614951,0.25300559,0,0.81876533,0.67136711,0.29295274,0.49696759,0.20577551,0.21341214,0.01377949,0.2401627,0.16699283,0.10985475,0.01047785,0.18807476,0.1265028,0,0.6304416,0.27424161,0.08788582,0.2484838,0.12820337,0.10670607,0.01566131,0.23374055,0.05009785,0.03904236,0.00992661,0.18807476,0.1265028,0,0.53627973,0.09915627,0.08788582,0.2484838,0.07676755,0.05335304,0.01513687,0.21115374,0.05009785
51,Seke,0.38506754,0.37345931,0.32776313,0.22195958,0.11768686,0.03825612,0.01092413,0.0057204,0,0.22666762,0.21909199,0.19140067,0.12752237,0.06791865,0.02130894,0.00598178,0.00289296,0,0.19827301,0.19100097,0.16658392,0.11003365,0.05972302,0.01858708,0.00501296,0.00263598,0,0.08365068,0.01251165,0.44272143,0.35954857,0,0.63458354,0.51478695,0.30697495,0.43097216,0.08876368,0.08494704,0.06631661,0.33674234,0.29866559,0.04182534,0.01667704,0.22136072,0.17977429,0,0.5289313,0.20720631,0.09513897,0.21548608,0.0798138,0.04247352,0.06959036,0.36911725,0.08959968,0.01394178,0.01500469,0.22136072,0.17977429,0,0.47610518,0.08320111,0.09513897,0.21548608,0.06041768,0.02123676,0.06759245,0.34838654,0.08959968
52,Shamva,0.3488315,0.3385351,0.26751774,0.17298018,0.07247847,0.02614074,0.0051663,0.0051663,0.0051663,0.18941319,0.18307387,0.14513311,0.09530764,0.03866208,0.01370379,0.00251172,0.00251172,0.00251172,0.14435788,0.13903918,0.10988222,0.07412416,0.02984427,0.01092001,0.00207151,0.00207151,0.00207151,0.15175815,0.0207933,0.10981447,0.19485294,0,0.61065846,0.66321242,0.21964126,0.47788646,0.17406909,0.12994816,0.01746908,0.31777892,0.23455194,0.07587908,0.0234585,0.05490723,0.09742647,0,0.43464777,0.24564538,0.06589238,0.23894323,0.12592317,0.06497408,0.00695257,0.29867766,0.07036558,0.02529303,0.01840277,0.05490723,0.09742647,0,0.34664242,0.07864725,0.06589238,0.23894323,0.07666146,0.03248704,0.0041505,0.26584829,0.07036558
53,Shurugwi,0.34206502,0.32246058,0.2540631,0.16649291,0.08391177,0.04337279,0.02263815,0.00588861,0.00588861,0.18504256,0.17388182,0.13734148,0.08778176,0.04401399,0.02309336,0.0118484,0.002879,0.002879,0.15483931,0.14504789,0.11623751,0.07423923,0.03780443,0.02038287,0.01041259,0.0026613,0.0026613,0.09158146,0,0.85363582,0.06496343,0.03793875,0.62102166,0.46295595,0.22230884,0.44534204,0.11476609,0.11853343,0,0.14925728,0.07426777,0.04579073,0,0.42681791,0.03248171,0.02845406,0.47351078,0.14572198,0.07812453,0.22267102,0.08610762,0.06246001,0,0.13696108,0.02228033,0.01526358,0,0.42681791,0.03248171,0.02845406,0.39975533,0.03726417,0.07812453,0.22267102,0.05552028,0.0344233,0,0.12139466,0.02228033
54,Tsholotsho,0.44281953,0.43211768,0.40277363,0.30259503,0.19104357,0.10304457,0.03705594,0.0167565,0.00916867,0.2518322,0.24506205,0.22666172,0.17001,0.10567414,0.05820225,0.02009139,0.00847964,0.00466548,0.20080393,0.19548477,0.18038199,0.13649587,0.08556099,0.04804275,0.01689269,0.00720786,0.00397813,0.30006192,0.03213218,0.64579456,0.2957968,0,0.74180546,0.70316609,0.21620631,0.48207316,0.10547041,0.32901889,0.02045368,0.21194189,0.12286421,0.15398646,0.02475052,0.32289728,0.1478984,0,0.60105217,0.32981711,0.06733039,0.24103658,0.062193,0.16588083,0.02262554,0.21607832,0.03685926,0.05478879,0.01862197,0.32289728,0.1478984,0,0.53067553,0.1433234,0.06733039,0.24103658,0.03779064,0.0843118,0.02088403,0.20121924,0.03685926
55,Umguza,0.44930399,0.44299624,0.41382117,0.31328671,0.18509109,0.09327995,0.02532721,0.01268258,0,0.24971191,0.24624346,0.2297516,0.17373374,0.10509505,0.05332974,0.01393945,0.00699547,0,0.20420783,0.20113239,0.18717931,0.1415676,0.08654922,0.04450667,0.01224285,0.00636198,0,0.25144857,0.01392331,0.79918621,0.16946713,0,0.7941858,0.75587464,0.21600068,0.46861701,0.09070213,0.25259621,0.06431641,0.19589799,0.19617177,0.12572428,0.00679901,0.3995931,0.08473357,0,0.66384769,0.26285871,0.06704152,0.23430851,0.06269085,0.12629811,0.0771797,0.20233655,0.05885153,0.0419081,0.00398181,0.3995931,0.08473357,0,0.59867863,0.08211267,0.06704152,0.23430851,0.04193273,0.06314905,0.0771797,0.18650341,0.05885153
